Origin Name,Destination Name,Duration,walktime
Fossil Fuel,Puss In Boots' Giant Journey,2 mins,2
Fossil Fuel,Magic Potion Spin,1 min,1
Fossil Fuel,Treasure Hunters,1 min,1
Fossil Fuel,"Lights, Camera, Action! Hosted by Steven Spielberg",5 mins,5
Fossil Fuel,Starbucks,5 mins,5
Fossil Fuel,Mel's Drive-In,4 mins,4
Fossil Fuel,Loui's NY Pizza Parlor,10 mins,10
Fossil Fuel,StarBot Café,4 mins,4
Fossil Fuel,Oasis Spice Café,2 mins,2
Fossil Fuel,Discovery Food Court,1 min,1
Fossil Fuel,Goldilock,2 mins,2
Fossil Fuel,Friar's Good Food,1 min,1
Goldilock,Revenge of the Mummy,3 mins,3
Goldilock,Battlestar Galactica: HUMAN,4 mins,4
Goldilock,Battlestar Galactica: CYLON,4 mins,4
Goldilock,Accelerator,5 mins,5
Goldilock,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Goldilock,Canopy Flyer,2 mins,2
Goldilock,Dino-Soarin,2 mins,2
Goldilock,Jurassic Park Rapids Adventure,2 mins,2
Goldilock,Shrek 4-D Adventure,1 min,1
Goldilock,Enchanted Airways,1 min,1
Goldilock,Puss In Boots' Giant Journey,1 min,1
Goldilock,Magic Potion Spin,1 min,1
Goldilock,Treasure Hunters,2 mins,2
Goldilock,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Goldilock,Starbucks,4 mins,4
Goldilock,Mel's Drive-In,3 mins,3
Goldilock,Loui's NY Pizza Parlor,9 mins,9
Goldilock,StarBot Café,5 mins,5
Goldilock,Oasis Spice Café,3 mins,3
Goldilock,Discovery Food Court,1 min,1
Goldilock,Fossil Fuel,2 mins,2
Goldilock,Friar's Good Food,1 min,1
Friar's Good Food,Revenge of the Mummy,3 mins,3
Friar's Good Food,Battlestar Galactica: HUMAN,4 mins,4
Friar's Good Food,Battlestar Galactica: CYLON,4 mins,4
Friar's Good Food,Accelerator,4 mins,4
Friar's Good Food,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Friar's Good Food,Canopy Flyer,2 mins,2
Friar's Good Food,Dino-Soarin,2 mins,2
Friar's Good Food,Jurassic Park Rapids Adventure,2 mins,2
Friar's Good Food,Shrek 4-D Adventure,1 min,1
Friar's Good Food,Enchanted Airways,1 min,1
Friar's Good Food,Puss In Boots' Giant Journey,1 min,1
Friar's Good Food,Magic Potion Spin,1 min,1
Friar's Good Food,Treasure Hunters,2 mins,2
Friar's Good Food,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Friar's Good Food,Starbucks,3 mins,3
Friar's Good Food,Mel's Drive-In,3 mins,3
Friar's Good Food,Loui's NY Pizza Parlor,8 mins,8
Friar's Good Food,StarBot Café,5 mins,5
Friar's Good Food,Oasis Spice Café,3 mins,3
Friar's Good Food,Discovery Food Court,1 min,1
Friar's Good Food,Fossil Fuel,1 min,1
Friar's Good Food,Goldilock,1 min,1
Entrance,Revenge of the Mummy,7 mins,7
Entrance,Battlestar Galactica: HUMAN,5 mins,5
Entrance,Battlestar Galactica: CYLON,5 mins,5
Entrance,Accelerator,5 mins,5
Entrance,TRANSFORMERS The Ride: The Ultimate 3D Battle,4 mins,4
Entrance,Canopy Flyer,6 mins,6
Entrance,Dino-Soarin,7 mins,7
Entrance,Jurassic Park Rapids Adventure,7 mins,7
Entrance,Shrek 4-D Adventure,4 mins,4
Entrance,Enchanted Airways,4 mins,4
Entrance,Puss In Boots' Giant Journey,5 mins,5
Entrance,Magic Potion Spin,4 mins,4
Entrance,Treasure Hunters,7 mins,7
Entrance,"Lights, Camera, Action! Hosted by Steven Spielberg",3 mins,3
Entrance,Mel's Drive-In,2 mins,2
Entrance,Loui's NY Pizza Parlor,4 mins,4
Entrance,StarBot Café,5 mins,5
Entrance,Oasis Spice Café,6 mins,6
Entrance,Discovery Food Court,5 mins,5
Entrance,Fossil Fuel,6 mins,6
Entrance,Goldilock,5 mins,5
Entrance,Friar's Good Food,4 mins,4
Entrance,Starbucks,1 min,1
Revenge of the Mummy,Revenge of the Mummy,0 min,0
Battlestar Galactica: HUMAN,Battlestar Galactica: HUMAN,0 min,0
Battlestar Galactica: CYLON,Battlestar Galactica: CYLON,0 min,0
Accelerator,Accelerator,0 min,0
TRANSFORMERS The Ride: The Ultimate 3D Battle,TRANSFORMERS The Ride: The Ultimate 3D Battle,0 min,0
Canopy Flyer,Canopy Flyer,0 min,0
Dino-Soarin,Dino-Soarin,0 min,0
Jurassic Park Rapids Adventure,Jurassic Park Rapids Adventure,0 min,0
Shrek 4-D Adventure,Shrek 4-D Adventure,0 min,0
Enchanted Airways,Enchanted Airways,0 min,0
Puss In Boots' Giant Journey,Puss In Boots' Giant Journey,0 min,0
Magic Potion Spin,Magic Potion Spin,0 min,0
Treasure Hunters,Treasure Hunters,0 min,0
"Lights, Camera, Action! Hosted by Steven Spielberg","Lights, Camera, Action! Hosted by Steven Spielberg",0 min,0
Starbucks,Starbucks,0 min,0
Mel's Drive-In,Mel's Drive-In,0 min,0
Loui's NY Pizza Parlor,Loui's NY Pizza Parlor,0 min,0
StarBot Café,StarBot Café,0 min,0
Oasis Spice Café,Oasis Spice Café,0 min,0
Discovery Food Court,Discovery Food Court,0 min,0
Fossil Fuel,Fossil Fuel,0 min,0
Goldilock,Goldilock,0 min,0
Friar's Good Food,Friar's Good Food,0 min,0
Entrance,Entrance,0 min,0
