Origin Name,Destination Name,Duration,walktime
TRANSFORMERS The Ride: The Ultimate 3D Battle,Battlestar Galactica: HUMAN,2 mins,2
TRANSFORMERS The Ride: The Ultimate 3D Battle,Battlestar Galactica: CYLON,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Accelerator,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Canopy Flyer,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Dino-Soarin,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Jurassic Park Rapids Adventure,6 mins,6
TRANSFORMERS The Ride: The Ultimate 3D Battle,Shrek 4-D Adventure,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Enchanted Airways,4 mins,4
TRANSFORMERS The Ride: The Ultimate 3D Battle,Puss In Boots' Giant Journey,6 mins,6
TRANSFORMERS The Ride: The Ultimate 3D Battle,Magic Potion Spin,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Treasure Hunters,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,"Lights, Camera, Action! Hosted by Steven Spielberg",1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Starbucks,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,Mel's Drive-In,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Loui's NY Pizza Parlor,8 mins,8
TRANSFORMERS The Ride: The Ultimate 3D Battle,StarBot Café,1 min,1
TRANSFORMERS The Ride: The Ultimate 3D Battle,Oasis Spice Café,3 mins,3
TRANSFORMERS The Ride: The Ultimate 3D Battle,Discovery Food Court,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Fossil Fuel,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Goldilock,5 mins,5
TRANSFORMERS The Ride: The Ultimate 3D Battle,Friar's Good Food,5 mins,5
Canopy Flyer,Revenge of the Mummy,2 mins,2
Canopy Flyer,Battlestar Galactica: HUMAN,3 mins,3
Canopy Flyer,Battlestar Galactica: CYLON,4 mins,4
Canopy Flyer,Accelerator,4 mins,4
Canopy Flyer,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Canopy Flyer,Dino-Soarin,1 min,1
Canopy Flyer,Jurassic Park Rapids Adventure,1 min,1
Canopy Flyer,Shrek 4-D Adventure,2 mins,2
Canopy Flyer,Enchanted Airways,2 mins,2
Canopy Flyer,Puss In Boots' Giant Journey,2 mins,2
Canopy Flyer,Magic Potion Spin,2 mins,2
Canopy Flyer,Treasure Hunters,1 min,1
Canopy Flyer,"Lights, Camera, Action! Hosted by Steven Spielberg",6 mins,6
Canopy Flyer,Starbucks,5 mins,5
Canopy Flyer,Mel's Drive-In,5 mins,5
Canopy Flyer,Loui's NY Pizza Parlor,10 mins,10
Canopy Flyer,StarBot Café,4 mins,4
Canopy Flyer,Oasis Spice Café,2 mins,2
Canopy Flyer,Discovery Food Court,1 min,1
Canopy Flyer,Fossil Fuel,1 min,1
Canopy Flyer,Goldilock,2 mins,2
Canopy Flyer,Friar's Good Food,2 mins,2
Dino-Soarin,Revenge of the Mummy,2 mins,2
Dino-Soarin,Battlestar Galactica: HUMAN,3 mins,3
Dino-Soarin,Battlestar Galactica: CYLON,4 mins,4
Dino-Soarin,Accelerator,4 mins,4
Dino-Soarin,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Dino-Soarin,Canopy Flyer,1 min,1
Dino-Soarin,Jurassic Park Rapids Adventure,1 min,1
Dino-Soarin,Shrek 4-D Adventure,2 mins,2
Dino-Soarin,Enchanted Airways,2 mins,2
Dino-Soarin,Puss In Boots' Giant Journey,2 mins,2
Dino-Soarin,Magic Potion Spin,2 mins,2
Dino-Soarin,Treasure Hunters,1 min,1
Dino-Soarin,"Lights, Camera, Action! Hosted by Steven Spielberg",6 mins,6
Dino-Soarin,Starbucks,6 mins,6
Dino-Soarin,Mel's Drive-In,5 mins,5
Dino-Soarin,Loui's NY Pizza Parlor,10 mins,10
Dino-Soarin,StarBot Café,5 mins,5
Dino-Soarin,Oasis Spice Café,3 mins,3
Dino-Soarin,Discovery Food Court,1 min,1
Dino-Soarin,Fossil Fuel,1 min,1
Dino-Soarin,Goldilock,2 mins,2
Dino-Soarin,Friar's Good Food,2 mins,2
Jurassic Park Rapids Adventure,Revenge of the Mummy,3 mins,3
Jurassic Park Rapids Adventure,Battlestar Galactica: HUMAN,4 mins,4
Jurassic Park Rapids Adventure,Battlestar Galactica: CYLON,4 mins,4
Jurassic Park Rapids Adventure,Accelerator,4 mins,4
Jurassic Park Rapids Adventure,TRANSFORMERS The Ride: The Ultimate 3D Battle,6 mins,6
Jurassic Park Rapids Adventure,Canopy Flyer,1 min,1
Jurassic Park Rapids Adventure,Dino-Soarin,1 min,1
Jurassic Park Rapids Adventure,Shrek 4-D Adventure,3 mins,3
Jurassic Park Rapids Adventure,Enchanted Airways,3 mins,3
Jurassic Park Rapids Adventure,Puss In Boots' Giant Journey,3 mins,3
Jurassic Park Rapids Adventure,Magic Potion Spin,2 mins,2
Jurassic Park Rapids Adventure,Treasure Hunters,2 mins,2
Jurassic Park Rapids Adventure,"Lights, Camera, Action! Hosted by Steven Spielberg",6 mins,6
Jurassic Park Rapids Adventure,Starbucks,6 mins,6
Jurassic Park Rapids Adventure,Mel's Drive-In,5 mins,5
Jurassic Park Rapids Adventure,Loui's NY Pizza Parlor,11 mins,11
Jurassic Park Rapids Adventure,StarBot Café,5 mins,5
Jurassic Park Rapids Adventure,Oasis Spice Café,3 mins,3
Jurassic Park Rapids Adventure,Discovery Food Court,2 mins,2
Jurassic Park Rapids Adventure,Fossil Fuel,1 min,1
Jurassic Park Rapids Adventure,Goldilock,2 mins,2
Jurassic Park Rapids Adventure,Friar's Good Food,2 mins,2
Shrek 4-D Adventure,Revenge of the Mummy,3 mins,3
Shrek 4-D Adventure,Battlestar Galactica: HUMAN,4 mins,4
Shrek 4-D Adventure,Battlestar Galactica: CYLON,5 mins,5
Shrek 4-D Adventure,Accelerator,5 mins,5
Shrek 4-D Adventure,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Shrek 4-D Adventure,Canopy Flyer,2 mins,2
Shrek 4-D Adventure,Dino-Soarin,2 mins,2
Shrek 4-D Adventure,Jurassic Park Rapids Adventure,3 mins,3
Shrek 4-D Adventure,Enchanted Airways,1 min,1
Shrek 4-D Adventure,Puss In Boots' Giant Journey,1 min,1
Shrek 4-D Adventure,Magic Potion Spin,1 min,1
Shrek 4-D Adventure,Treasure Hunters,2 mins,2
Shrek 4-D Adventure,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Shrek 4-D Adventure,Starbucks,3 mins,3
Shrek 4-D Adventure,Mel's Drive-In,3 mins,3
Shrek 4-D Adventure,Loui's NY Pizza Parlor,8 mins,8
Shrek 4-D Adventure,StarBot Café,5 mins,5
Shrek 4-D Adventure,Oasis Spice Café,3 mins,3
Shrek 4-D Adventure,Discovery Food Court,1 min,1
Shrek 4-D Adventure,Fossil Fuel,2 mins,2
Shrek 4-D Adventure,Goldilock,1 min,1
Shrek 4-D Adventure,Friar's Good Food,1 min,1
Enchanted Airways,Revenge of the Mummy,3 mins,3
Enchanted Airways,Battlestar Galactica: HUMAN,4 mins,4
Enchanted Airways,Battlestar Galactica: CYLON,4 mins,4
Enchanted Airways,Accelerator,5 mins,5
Enchanted Airways,TRANSFORMERS The Ride: The Ultimate 3D Battle,4 mins,4
Enchanted Airways,Canopy Flyer,2 mins,2
Enchanted Airways,Dino-Soarin,2 mins,2
Enchanted Airways,Jurassic Park Rapids Adventure,3 mins,3
Enchanted Airways,Shrek 4-D Adventure,1 min,1
Enchanted Airways,Puss In Boots' Giant Journey,1 min,1
Enchanted Airways,Magic Potion Spin,1 min,1
Enchanted Airways,Treasure Hunters,2 mins,2
Enchanted Airways,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Enchanted Airways,Starbucks,3 mins,3
Enchanted Airways,Mel's Drive-In,2 mins,2
Enchanted Airways,Loui's NY Pizza Parlor,8 mins,8
Enchanted Airways,StarBot Café,5 mins,5
Enchanted Airways,Oasis Spice Café,3 mins,3
Enchanted Airways,Discovery Food Court,1 min,1
Enchanted Airways,Fossil Fuel,2 mins,2
Enchanted Airways,Goldilock,1 min,1
Enchanted Airways,Friar's Good Food,1 min,1
Puss In Boots' Giant Journey,Revenge of the Mummy,3 mins,3
Puss In Boots' Giant Journey,Battlestar Galactica: HUMAN,4 mins,4
Puss In Boots' Giant Journey,Battlestar Galactica: CYLON,5 mins,5
Puss In Boots' Giant Journey,Accelerator,5 mins,5
Puss In Boots' Giant Journey,TRANSFORMERS The Ride: The Ultimate 3D Battle,6 mins,6
Puss In Boots' Giant Journey,Canopy Flyer,2 mins,2
Puss In Boots' Giant Journey,Dino-Soarin,2 mins,2
Puss In Boots' Giant Journey,Jurassic Park Rapids Adventure,3 mins,3
Puss In Boots' Giant Journey,Shrek 4-D Adventure,1 min,1
Puss In Boots' Giant Journey,Enchanted Airways,1 min,1
Puss In Boots' Giant Journey,Magic Potion Spin,1 min,1
Puss In Boots' Giant Journey,Treasure Hunters,2 mins,2
Puss In Boots' Giant Journey,"Lights, Camera, Action! Hosted by Steven Spielberg",5 mins,5
Puss In Boots' Giant Journey,Starbucks,4 mins,4
Puss In Boots' Giant Journey,Mel's Drive-In,4 mins,4
Puss In Boots' Giant Journey,Loui's NY Pizza Parlor,9 mins,9
Puss In Boots' Giant Journey,StarBot Café,5 mins,5
Puss In Boots' Giant Journey,Oasis Spice Café,3 mins,3
Puss In Boots' Giant Journey,Discovery Food Court,1 min,1
Puss In Boots' Giant Journey,Fossil Fuel,2 mins,2
Puss In Boots' Giant Journey,Goldilock,1 min,1
Puss In Boots' Giant Journey,Friar's Good Food,1 min,1
Magic Potion Spin,Revenge of the Mummy,2 mins,2
Magic Potion Spin,Battlestar Galactica: HUMAN,3 mins,3
Magic Potion Spin,Battlestar Galactica: CYLON,4 mins,4
Magic Potion Spin,Accelerator,4 mins,4
Magic Potion Spin,TRANSFORMERS The Ride: The Ultimate 3D Battle,5 mins,5
Magic Potion Spin,Canopy Flyer,2 mins,2
Magic Potion Spin,Dino-Soarin,2 mins,2
Magic Potion Spin,Jurassic Park Rapids Adventure,2 mins,2
Magic Potion Spin,Shrek 4-D Adventure,1 min,1
Magic Potion Spin,Enchanted Airways,1 min,1
Magic Potion Spin,Puss In Boots' Giant Journey,1 min,1
Magic Potion Spin,Treasure Hunters,2 mins,2
Magic Potion Spin,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Magic Potion Spin,Starbucks,3 mins,3
Magic Potion Spin,Mel's Drive-In,3 mins,3
Magic Potion Spin,Loui's NY Pizza Parlor,8 mins,8
Magic Potion Spin,StarBot Café,5 mins,5
Magic Potion Spin,Oasis Spice Café,3 mins,3
Magic Potion Spin,Discovery Food Court,1 min,1
Magic Potion Spin,Fossil Fuel,1 min,1
Magic Potion Spin,Goldilock,1 min,1
Magic Potion Spin,Friar's Good Food,1 min,1
Treasure Hunters,Revenge of the Mummy,1 min,1
Treasure Hunters,Battlestar Galactica: HUMAN,1 min,1
Treasure Hunters,Battlestar Galactica: CYLON,2 mins,2
Treasure Hunters,Accelerator,2 mins,2
Treasure Hunters,TRANSFORMERS The Ride: The Ultimate 3D Battle,3 mins,3
Treasure Hunters,Canopy Flyer,1 min,1
Treasure Hunters,Dino-Soarin,1 min,1
Treasure Hunters,Jurassic Park Rapids Adventure,2 mins,2
Treasure Hunters,Shrek 4-D Adventure,2 mins,2
Treasure Hunters,Enchanted Airways,2 mins,2
Treasure Hunters,Puss In Boots' Giant Journey,2 mins,2
Treasure Hunters,Magic Potion Spin,2 mins,2
Treasure Hunters,"Lights, Camera, Action! Hosted by Steven Spielberg",4 mins,4
Treasure Hunters,Starbucks,6 mins,6
Treasure Hunters,Mel's Drive-In,5 mins,5
Treasure Hunters,Loui's NY Pizza Parlor,10 mins,10
Treasure Hunters,StarBot Café,3 mins,3
Treasure Hunters,Oasis Spice Café,1 min,1
Treasure Hunters,Discovery Food Court,1 min,1
Treasure Hunters,Fossil Fuel,1 min,1
Treasure Hunters,Goldilock,2 mins,2
Treasure Hunters,Friar's Good Food,2 mins,2
"Lights, Camera, Action! Hosted by Steven Spielberg",Revenge of the Mummy,3 mins,3
"Lights, Camera, Action! Hosted by Steven Spielberg",Battlestar Galactica: HUMAN,2 mins,2
"Lights, Camera, Action! Hosted by Steven Spielberg",Battlestar Galactica: CYLON,1 min,1
"Lights, Camera, Action! Hosted by Steven Spielberg",Accelerator,1 min,1
"Lights, Camera, Action! Hosted by Steven Spielberg",TRANSFORMERS The Ride: The Ultimate 3D Battle,1 min,1
"Lights, Camera, Action! Hosted by Steven Spielberg",Canopy Flyer,6 mins,6
"Lights, Camera, Action! Hosted by Steven Spielberg",Dino-Soarin,6 mins,6
"Lights, Camera, Action! Hosted by Steven Spielberg",Jurassic Park Rapids Adventure,6 mins,6
"Lights, Camera, Action! Hosted by Steven Spielberg",Shrek 4-D Adventure,4 mins,4
"Lights, Camera, Action! Hosted by Steven Spielberg",Enchanted Airways,4 mins,4
"Lights, Camera, Action! Hosted by Steven Spielberg",Puss In Boots' Giant Journey,5 mins,5
"Lights, Camera, Action! Hosted by Steven Spielberg",Magic Potion Spin,4 mins,4
"Lights, Camera, Action! Hosted by Steven Spielberg",Treasure Hunters,4 mins,4
"Lights, Camera, Action! Hosted by Steven Spielberg",Starbucks,2 mins,2
"Lights, Camera, Action! Hosted by Steven Spielberg",Mel's Drive-In,1 min,1
"Lights, Camera, Action! Hosted by Steven Spielberg",Loui's NY Pizza Parlor,7 mins,7
"Lights, Camera, Action! Hosted by Steven Spielberg",StarBot Café,1 min,1
"Lights, Camera, Action! Hosted by Steven Spielberg",Oasis Spice Café,3 mins,3
"Lights, Camera, Action! Hosted by Steven Spielberg",Discovery Food Court,5 mins,5
"Lights, Camera, Action! Hosted by Steven Spielberg",Fossil Fuel,5 mins,5
"Lights, Camera, Action! Hosted by Steven Spielberg",Goldilock,4 mins,4
"Lights, Camera, Action! Hosted by Steven Spielberg",Friar's Good Food,4 mins,4
Starbucks,Revenge of the Mummy,6 mins,6
Starbucks,Battlestar Galactica: HUMAN,4 mins,4
Starbucks,Battlestar Galactica: CYLON,4 mins,4
Starbucks,Accelerator,4 mins,4
Starbucks,TRANSFORMERS The Ride: The Ultimate 3D Battle,3 mins,3
