Origin Name,Origin Coordinates,Destination Name,Destination Coordinates,Distance,Duration
Accelerator,"1.2538501,103.8217441",Battlestar Galactica: Cylon,"1.2537711,103.8218861",22 m,1 min
Accelerator,"1.2538501,103.8217441",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",121 m,1 min
Accelerator,"1.2538501,103.8217441",Canopy Flyer,"1.253856,103.8243884",326 m,4 mins
Accelerator,"1.2538501,103.8217441",Dino-Soarin,"1.2535797,103.8243396",338 m,4 mins
Accelerator,"1.2538501,103.8217441",Jurassic Park Rapids Adventure,"1.2532744,103.823845",363 m,4 mins
Accelerator,"1.2538501,103.8217441",Shrek 4D,"1.2549965,103.8238626",404 m,5 mins
Accelerator,"1.2538501,103.8217441",Enchanted Airways,"1.2549183,103.8235319",386 m,5 mins
Accelerator,"1.2538501,103.8217441",Puss In Boots' Giant Journey,"1.2546338,103.8244392",401 m,5 mins
Accelerator,"1.2538501,103.8217441",Magic Potion Spin,"1.2548351,103.8239722",348 m,4 mins
Accelerator,"1.2538501,103.8217441",Treasure Hunters,"1.2537248,103.8233339",191 m,2 mins
Accelerator,"1.2538501,103.8217441","Lights, Camera, Action!","1.2547478,103.8215777",142 m,1 min
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Revenge of the Mummy,"1.2535651,103.8229439",256 m,3 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Battlestar Galactica: Human,"1.2535619,103.8221343",163 m,2 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Battlestar Galactica: Cylon,"1.2537711,103.8218861",127 m,1 min
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Accelerator,"1.2538501,103.8217441",121 m,1 min
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Canopy Flyer,"1.253856,103.8243884",431 m,5 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Dino-Soarin,"1.2535797,103.8243396",443 m,5 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Jurassic Park Rapids Adventure,"1.2532744,103.823845",468 m,6 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Shrek 4D,"1.2549965,103.8238626",395 m,5 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Enchanted Airways,"1.2549183,103.8235319",361 m,4 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Puss In Boots' Giant Journey,"1.2546338,103.8244392",461 m,6 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Magic Potion Spin,"1.2548351,103.8239722",401 m,5 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",Treasure Hunters,"1.2537248,103.8233339",296 m,3 mins
Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299","Lights, Camera, Action!","1.2547478,103.8215777",59 m,1 min
Canopy Flyer,"1.253856,103.8243884",Revenge of the Mummy,"1.2535651,103.8229439",188 m,2 mins
Canopy Flyer,"1.253856,103.8243884",Battlestar Galactica: Human,"1.2535619,103.8221343",268 m,3 mins
Canopy Flyer,"1.253856,103.8243884",Battlestar Galactica: Cylon,"1.2537711,103.8218861",303 m,4 mins
Canopy Flyer,"1.253856,103.8243884",Accelerator,"1.2538501,103.8217441",325 m,4 mins
Canopy Flyer,"1.253856,103.8243884",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",430 m,5 mins
Canopy Flyer,"1.253856,103.8243884",Dino-Soarin,"1.2535797,103.8243396",24 m,1 min
Canopy Flyer,"1.253856,103.8243884",Jurassic Park Rapids Adventure,"1.2532744,103.823845",127 m,1 min
Canopy Flyer,"1.253856,103.8243884",Shrek 4D,"1.2549965,103.8238626",206 m,2 mins
Canopy Flyer,"1.253856,103.8243884",Enchanted Airways,"1.2549183,103.8235319",188 m,2 mins
Canopy Flyer,"1.253856,103.8243884",Puss In Boots' Giant Journey,"1.2546338,103.8244392",175 m,2 mins
Canopy Flyer,"1.253856,103.8243884",Magic Potion Spin,"1.2548351,103.8239722",150 m,2 mins
Canopy Flyer,"1.253856,103.8243884",Treasure Hunters,"1.2537248,103.8233339",134 m,1 min
Canopy Flyer,"1.253856,103.8243884","Lights, Camera, Action!","1.2547478,103.8215777",452 m,6 mins
Dino-Soarin,"1.2535797,103.8243396",Revenge of the Mummy,"1.2535651,103.8229439",200 m,2 mins
Dino-Soarin,"1.2535797,103.8243396",Battlestar Galactica: Human,"1.2535619,103.8221343",280 m,3 mins
Dino-Soarin,"1.2535797,103.8243396",Battlestar Galactica: Cylon,"1.2537711,103.8218861",315 m,4 mins
Dino-Soarin,"1.2535797,103.8243396",Accelerator,"1.2538501,103.8217441",337 m,4 mins
Dino-Soarin,"1.2535797,103.8243396",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",442 m,5 mins
Dino-Soarin,"1.2535797,103.8243396",Canopy Flyer,"1.253856,103.8243884",24 m,1 min
Dino-Soarin,"1.2535797,103.8243396",Jurassic Park Rapids Adventure,"1.2532744,103.823845",109 m,1 min
Dino-Soarin,"1.2535797,103.8243396",Shrek 4D,"1.2549965,103.8238626",218 m,2 mins
Dino-Soarin,"1.2535797,103.8243396",Enchanted Airways,"1.2549183,103.8235319",200 m,2 mins
Dino-Soarin,"1.2535797,103.8243396",Puss In Boots' Giant Journey,"1.2546338,103.8244392",187 m,2 mins
Dino-Soarin,"1.2535797,103.8243396",Magic Potion Spin,"1.2548351,103.8239722",162 m,2 mins
Dino-Soarin,"1.2535797,103.8243396",Treasure Hunters,"1.2537248,103.8233339",146 m,1 min
Dino-Soarin,"1.2535797,103.8243396","Lights, Camera, Action!","1.2547478,103.8215777",464 m,6 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Revenge of the Mummy,"1.2535651,103.8229439",226 m,3 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Battlestar Galactica: Human,"1.2535619,103.8221343",306 m,4 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Battlestar Galactica: Cylon,"1.2537711,103.8218861",341 m,4 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Accelerator,"1.2538501,103.8217441",363 m,4 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",468 m,6 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Canopy Flyer,"1.253856,103.8243884",128 m,1 min
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Dino-Soarin,"1.2535797,103.8243396",109 m,1 min
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Shrek 4D,"1.2549965,103.8238626",247 m,3 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Enchanted Airways,"1.2549183,103.8235319",229 m,3 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Puss In Boots' Giant Journey,"1.2546338,103.8244392",233 m,3 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Magic Potion Spin,"1.2548351,103.8239722",191 m,2 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845",Treasure Hunters,"1.2537248,103.8233339",172 m,2 mins
Jurassic Park Rapids Adventure,"1.2532744,103.823845","Lights, Camera, Action!","1.2547478,103.8215777",490 m,6 mins
Shrek 4D,"1.2549965,103.8238626",Revenge of the Mummy,"1.2535651,103.8229439",267 m,3 mins
Shrek 4D,"1.2549965,103.8238626",Battlestar Galactica: Human,"1.2535619,103.8221343",347 m,4 mins
Shrek 4D,"1.2549965,103.8238626",Battlestar Galactica: Cylon,"1.2537711,103.8218861",382 m,5 mins
Shrek 4D,"1.2549965,103.8238626",Accelerator,"1.2538501,103.8217441",404 m,5 mins
Shrek 4D,"1.2549965,103.8238626",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",395 m,5 mins
Shrek 4D,"1.2549965,103.8238626",Canopy Flyer,"1.253856,103.8243884",206 m,2 mins
Shrek 4D,"1.2549965,103.8238626",Dino-Soarin,"1.2535797,103.8243396",218 m,2 mins
Shrek 4D,"1.2549965,103.8238626",Jurassic Park Rapids Adventure,"1.2532744,103.823845",246 m,3 mins
Shrek 4D,"1.2549965,103.8238626",Enchanted Airways,"1.2549183,103.8235319",28 m,1 min
Shrek 4D,"1.2549965,103.8238626",Puss In Boots' Giant Journey,"1.2546338,103.8244392",113 m,1 min
Shrek 4D,"1.2549965,103.8238626",Magic Potion Spin,"1.2548351,103.8239722",53 m,1 min
Shrek 4D,"1.2549965,103.8238626",Treasure Hunters,"1.2537248,103.8233339",213 m,2 mins
Shrek 4D,"1.2549965,103.8238626","Lights, Camera, Action!","1.2547478,103.8215777",335 m,4 mins
Enchanted Airways,"1.2549183,103.8235319",Revenge of the Mummy,"1.2535651,103.8229439",248 m,3 mins
Enchanted Airways,"1.2549183,103.8235319",Battlestar Galactica: Human,"1.2535619,103.8221343",328 m,4 mins
Enchanted Airways,"1.2549183,103.8235319",Battlestar Galactica: Cylon,"1.2537711,103.8218861",363 m,4 mins
Enchanted Airways,"1.2549183,103.8235319",Accelerator,"1.2538501,103.8217441",385 m,5 mins
Enchanted Airways,"1.2549183,103.8235319",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",361 m,4 mins
Enchanted Airways,"1.2549183,103.8235319",Canopy Flyer,"1.253856,103.8243884",187 m,2 mins
Enchanted Airways,"1.2549183,103.8235319",Dino-Soarin,"1.2535797,103.8243396",199 m,2 mins
Enchanted Airways,"1.2549183,103.8235319",Jurassic Park Rapids Adventure,"1.2532744,103.823845",227 m,3 mins
Enchanted Airways,"1.2549183,103.8235319",Shrek 4D,"1.2549965,103.8238626",28 m,1 min
Enchanted Airways,"1.2549183,103.8235319",Puss In Boots' Giant Journey,"1.2546338,103.8244392",95 m,1 min
Enchanted Airways,"1.2549183,103.8235319",Magic Potion Spin,"1.2548351,103.8239722",34 m,1 min
Enchanted Airways,"1.2549183,103.8235319",Treasure Hunters,"1.2537248,103.8233339",194 m,2 mins
Enchanted Airways,"1.2549183,103.8235319","Lights, Camera, Action!","1.2547478,103.8215777",302 m,4 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Revenge of the Mummy,"1.2535651,103.8229439",264 m,3 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Battlestar Galactica: Human,"1.2535619,103.8221343",344 m,4 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Battlestar Galactica: Cylon,"1.2537711,103.8218861",379 m,5 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Accelerator,"1.2538501,103.8217441",401 m,5 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",461 m,6 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Canopy Flyer,"1.253856,103.8243884",175 m,2 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Dino-Soarin,"1.2535797,103.8243396",187 m,2 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Jurassic Park Rapids Adventure,"1.2532744,103.823845",233 m,3 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Shrek 4D,"1.2549965,103.8238626",113 m,1 min
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Enchanted Airways,"1.2549183,103.8235319",95 m,1 min
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Magic Potion Spin,"1.2548351,103.8239722",54 m,1 min
Puss In Boots' Giant Journey,"1.2546338,103.8244392",Treasure Hunters,"1.2537248,103.8233339",210 m,2 mins
Puss In Boots' Giant Journey,"1.2546338,103.8244392","Lights, Camera, Action!","1.2547478,103.8215777",402 m,5 mins
Magic Potion Spin,"1.2548351,103.8239722",Revenge of the Mummy,"1.2535651,103.8229439",211 m,2 mins
Magic Potion Spin,"1.2548351,103.8239722",Battlestar Galactica: Human,"1.2535619,103.8221343",291 m,3 mins
Magic Potion Spin,"1.2548351,103.8239722",Battlestar Galactica: Cylon,"1.2537711,103.8218861",326 m,4 mins
Magic Potion Spin,"1.2548351,103.8239722",Accelerator,"1.2538501,103.8217441",348 m,4 mins
Magic Potion Spin,"1.2548351,103.8239722",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",401 m,5 mins
Magic Potion Spin,"1.2548351,103.8239722",Canopy Flyer,"1.253856,103.8243884",150 m,2 mins
Magic Potion Spin,"1.2548351,103.8239722",Dino-Soarin,"1.2535797,103.8243396",162 m,2 mins
Magic Potion Spin,"1.2548351,103.8239722",Jurassic Park Rapids Adventure,"1.2532744,103.823845",190 m,2 mins
Magic Potion Spin,"1.2548351,103.8239722",Shrek 4D,"1.2549965,103.8238626",53 m,1 min
Magic Potion Spin,"1.2548351,103.8239722",Enchanted Airways,"1.2549183,103.8235319",35 m,1 min
Magic Potion Spin,"1.2548351,103.8239722",Puss In Boots' Giant Journey,"1.2546338,103.8244392",54 m,1 min
Magic Potion Spin,"1.2548351,103.8239722",Treasure Hunters,"1.2537248,103.8233339",157 m,2 mins
Magic Potion Spin,"1.2548351,103.8239722","Lights, Camera, Action!","1.2547478,103.8215777",342 m,4 mins
Treasure Hunters,"1.2537248,103.8233339",Revenge of the Mummy,"1.2535651,103.8229439",54 m,1 min
Treasure Hunters,"1.2537248,103.8233339",Battlestar Galactica: Human,"1.2535619,103.8221343",134 m,1 min
Treasure Hunters,"1.2537248,103.8233339",Battlestar Galactica: Cylon,"1.2537711,103.8218861",169 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Accelerator,"1.2538501,103.8217441",191 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",296 m,3 mins
Treasure Hunters,"1.2537248,103.8233339",Canopy Flyer,"1.253856,103.8243884",134 m,1 min
Treasure Hunters,"1.2537248,103.8233339",Dino-Soarin,"1.2535797,103.8243396",146 m,1 min
Treasure Hunters,"1.2537248,103.8233339",Jurassic Park Rapids Adventure,"1.2532744,103.823845",171 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Shrek 4D,"1.2549965,103.8238626",213 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Enchanted Airways,"1.2549183,103.8235319",195 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Puss In Boots' Giant Journey,"1.2546338,103.8244392",210 m,2 mins
Treasure Hunters,"1.2537248,103.8233339",Magic Potion Spin,"1.2548351,103.8239722",157 m,2 mins
Treasure Hunters,"1.2537248,103.8233339","Lights, Camera, Action!","1.2547478,103.8215777",318 m,4 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Revenge of the Mummy,"1.2535651,103.8229439",278 m,3 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Battlestar Galactica: Human,"1.2535619,103.8221343",185 m,2 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Battlestar Galactica: Cylon,"1.2537711,103.8218861",149 m,1 min
"Lights, Camera, Action!","1.2547478,103.8215777",Accelerator,"1.2538501,103.8217441",143 m,1 min
"Lights, Camera, Action!","1.2547478,103.8215777",Transformers The Ride: The Ultimate 3D Battle,"1.2542193,103.8212299",60 m,1 min
"Lights, Camera, Action!","1.2547478,103.8215777",Canopy Flyer,"1.253856,103.8243884",453 m,6 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Dino-Soarin,"1.2535797,103.8243396",465 m,6 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Jurassic Park Rapids Adventure,"1.2532744,103.823845",490 m,6 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Shrek 4D,"1.2549965,103.8238626",335 m,4 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Enchanted Airways,"1.2549183,103.8235319",302 m,4 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Puss In Boots' Giant Journey,"1.2546338,103.8244392",402 m,5 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Magic Potion Spin,"1.2548351,103.8239722",342 m,4 mins
"Lights, Camera, Action!","1.2547478,103.8215777",Treasure Hunters,"1.2537248,103.8233339",318 m,4 mins
